09-01 16:28:06.650 I/OPENHU  ( 7594): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: Requesting Native AA P2P group on 5GHz band. Chosen by the user.
09-01 16:28:06.651 I/OPENHU  ( 7594): [2] WifiDirectManager.createQuietGroup | WifiDirectManager: 5 GHz channel is channel 36 (5180 MHz), asked for as a fixed 5180 MHz.
09-01 16:28:06.678 I/OPENHU  ( 7594): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-01 16:28:06.848 I/OPENHU  ( 7594): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-5N-Navegadortz2, BSSID: C2:F7:6A:32:CF:C5 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-3, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-01 16:28:07.698 I/OPENHU  ( 7594): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-5N-Navegadortz2, BSSID: C2:F7:6A:32:CF:C5 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-3, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-01 16:28:07.716 I/OPENHU  ( 7594): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-5N-Navegadortz2, BSSID: C2:F7:6A:32:CF:C5 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-3, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-01 16:28:21.486 I/OPENHU  ( 7594): [2] AutoStartReceiver.onReceive | MATCH! Starting AapService via Bluetooth Auto-start...
09-01 16:28:21.662 I/OPENHU  ( 7594): [51] 2.invokeSuspend | NativeAA: Connection accepted from POCO X3 NFC (DC:B7:2E:5E:4E:59) on local radio [Navegadortz2]
09-01 16:28:23.476 I/OPENHU  ( 7594): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-5N-Navegadortz2, BSSID: C2:F7:6A:32:CF:C5 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-3, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-01 16:28:23.644 I/OPENHU  ( 7594): [50] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.60
09-01 16:28:23.892 I/OPENHU  ( 7594): [60] AapSslContext.performHandshake | SSL handshake complete. Session id: DVZ4uA5f2GuV8RqAgbIHQjjr5AwTFztZ0f9WHeeZB8A=
09-01 16:28:23.893 D/OPENHU  ( 7594): [60] AapTransport.handshake | Handshake: SSL handshake complete. TS: 32778343
