09-03 22:58:54.491 I/OPENHU  (10129): [184] UsbAccessoryMode.switch | Sending acc start
09-03 22:58:54.492 I/OPENHU  (10129): [184] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 22:58:54.678 I/OPENHU  (10129): [2] AapService.deferWirelessForUsbHandoff | AapService: a USB projection attempt is in flight — holding the wireless bring-up for up to 8000ms
09-03 22:58:54.996 I/OPENHU  (10129): [184] UsbAttachedActivity.awaitAccessoryDevice | Accessory mode reached after 1ms: Google Pixel 4 (VID: 18D1 PID: 2D00)
09-03 22:58:56.209 I/OPENHU  (10129): [190] StandardUsbProjectionConnection.usbOpen | Established connection: android.hardware.usb.UsbDeviceConnection@f7da6d6
09-03 22:58:56.342 I/OPENHU  (10129): [2] AapService.quiesceWirelessForWiredSession | AapService: USB session established while wireless mode NATIVE/WIFI_DIRECT was armed — stopping the wireless stack for the duration of it
09-03 22:58:57.067 D/OPENHU  (10129): [190] AapTransport.handshake | Handshake: Version request sent. ret: 10. attempt: 1. TS: 257190066
09-03 22:58:59.272 W/OPENHU  (10129): [190] AapTransport.handshake | Handshake: No VERSION_RESPONSE within 2s (attempt 1), ret=-1
09-03 22:58:59.473 D/OPENHU  (10129): [190] AapTransport.handshake | Handshake: Version request sent. ret: 10. attempt: 2. TS: 257192472
09-03 22:59:00.208 I/OPENHU  (10129): [190] StandardUsbProjectionConnection.recvBlocking | USB reads recovered after 2 errors
09-03 22:59:00.209 I/OPENHU  (10129): [190] AapTransport.handshake | Handshake: Version response received (ret=12, attempt=2).
09-03 22:59:00.209 I/OPENHU  (10129): [190] AapTransport.handshake | Handshake: Version response recv ret: 12
09-03 22:59:00.241 E/OPENHU  (10129): [190] AapTransport.handshake | Handshake failed with exception
09-03 22:59:00.241 E/OPENHU  (10129): javax.net.ssl.SSLException: Unable to parse TLS packet header
09-03 22:59:00.255 E/OPENHU  (10129): [190] AapTransport.startHandshake$com_andrerinas_headunitrevived_3_3_1_beta1_githubDebug | Handshake failed
09-03 23:03:13.940 I/OPENHU  (10129): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:03:13.941 I/OPENHU  (10129): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:03:13.943 I/OPENHU  (10129): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
