09-03 23:03:47.924 I/OPENHU  (10363): [184] UsbAccessoryMode.switch | Sending acc start
09-03 23:03:47.926 I/OPENHU  (10363): [184] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 23:03:48.065 I/OPENHU  (10363): [2] AapService.deferWirelessForUsbHandoff | AapService: a USB projection attempt is in flight — holding the wireless bring-up for up to 8000ms
09-03 23:03:48.432 I/OPENHU  (10363): [184] UsbAttachedActivity.awaitAccessoryDevice | Accessory mode reached after 3ms: Google Pixel 4 (VID: 18D1 PID: 2D00)
09-03 23:03:49.415 I/OPENHU  (10363): [191] StandardUsbProjectionConnection.usbOpen | Established connection: android.hardware.usb.UsbDeviceConnection@222a14
09-03 23:03:49.530 I/OPENHU  (10363): [2] AapService.quiesceWirelessForWiredSession | AapService: USB session established while wireless mode NATIVE/WIFI_DIRECT was armed — stopping the wireless stack for the duration of it
09-03 23:03:50.216 D/OPENHU  (10363): [191] AapTransport.handshake | Handshake: Version request sent. ret: 10. attempt: 1. TS: 257483215
09-03 23:03:52.392 W/OPENHU  (10363): [191] AapTransport.handshake | Handshake: No VERSION_RESPONSE within 2s (attempt 1), ret=-1
09-03 23:03:52.593 D/OPENHU  (10363): [191] AapTransport.handshake | Handshake: Version request sent. ret: 10. attempt: 2. TS: 257485592
09-03 23:03:54.739 W/OPENHU  (10363): [191] AapTransport.handshake | Handshake: No VERSION_RESPONSE within 2s (attempt 2), ret=-1
09-03 23:03:54.940 D/OPENHU  (10363): [191] AapTransport.handshake | Handshake: Version request sent. ret: 10. attempt: 3. TS: 257487938
09-03 23:03:55.936 W/OPENHU  (10363): [191] AapTransport.handshake | Handshake: No VERSION_RESPONSE within 2s (attempt 3), ret=-1
09-03 23:03:55.942 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:03:55.953 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
