09-03 23:18:18.215 I/OPENHU  (11238): [2] UsbAttachedActivity.onCreate | Switching USB device to accessory mode Google Pixel 4 (VID: 18D1 PID: 4EE1)
09-03 23:18:18.232 I/OPENHU  (11238): [184] UsbAccessoryMode.connectAndSwitch | UsbAccessoryMode: Performing AOA switch via native libusb...
09-03 23:18:18.261 I/OPENHU  (11238): [184] UsbAccessoryMode.connectAndSwitch | Result: true
09-03 23:18:18.389 I/OPENHU  (11238): [2] AapService.deferWirelessForUsbHandoff | AapService: a USB projection attempt is in flight — holding the wireless bring-up for up to 8000ms
09-03 23:18:18.777 I/OPENHU  (11238): [184] UsbAttachedActivity.awaitAccessoryDevice | Accessory mode reached after 513ms: Google Pixel 4 (VID: 18D1 PID: 2D00)
09-03 23:18:19.824 I/OPENHU  (11238): [2] UsbAttachedActivity.onCreate | Switching USB device to accessory mode Google Pixel 4 (VID: 18D1 PID: 4EE1)
09-03 23:18:19.831 E/OPENHU  (11238): [195] UsbAccessoryMode.connectAndSwitch | Cannot open device
09-03 23:18:19.857 I/OPENHU  (11238): [190] 2.invokeSuspend | LibusbAccessoryConnection: Successfully connected via JNI Libusb
09-03 23:18:19.922 I/OPENHU  (11238): [2] AapService.quiesceWirelessForWiredSession | AapService: USB session established while wireless mode NATIVE/WIFI_DIRECT was armed — stopping the wireless stack for the duration of it
09-03 23:18:20.809 I/OPENHU  (11238): [190] AapTransport.handshake | Handshake: Version response received (ret=12, attempt=1).
09-03 23:18:20.923 I/OPENHU  (11238): [190] AapSslContext.performHandshake | SSL handshake complete. Session id: OljrKWYDRiQ3H1ci6K0w1889XPSLsQpEC5+gEzB9e+Y=
09-03 23:18:20.924 D/OPENHU  (11238): [190] AapTransport.handshake | Handshake: SSL handshake complete. TS: 258353923
09-03 23:18:21.193 I/OPENHU  (11238): [198] AapControlService.serviceDiscoveryRequest | Service Discovery Request: Android
09-03 23:18:22.887 D/OPENHU  (11238): [198] Companion.decrypt | RECV: BLUETOOTH Media Start Request type: 32769 flags: 11 size: 23 dataOffset: 2
09-03 23:18:24.002 D/OPENHU  (11238): [198] Companion.decrypt | RECV: VIDEO Media Start Request type: 32769 flags: 11 size: 6 dataOffset: 2
09-03 23:18:24.004 I/OPENHU  (11238): [198] AapControlMedia.mediaStartRequest | Media Start Request VIDEO: session=0, config_index=0
09-03 23:18:24.330 I/OPENHU  (11238): [2] AapProjectionActivity.hideLoadingOverlay | Hiding loading overlay after first video frame
09-03 23:18:29.301 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5006ms: rendered=138 (27fps), fed=139 (27fps), dropped=0, skipped=0, concealed=0, inputWait=107ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=137 (27fps), decodeLatency=13ms p95=24ms (137 frames)
09-03 23:18:31.719 D/OPENHU  (11238): [198] Companion.decrypt | RECV: AUDIO Media Start Request type: 32769 flags: 11 size: 6 dataOffset: 2
09-03 23:18:31.719 I/OPENHU  (11238): [198] AapControlMedia.mediaStartRequest | Media Start Request AUDIO: session=0, config_index=0
09-03 23:18:34.306 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5005ms: rendered=237 (47fps), fed=237 (47fps), dropped=0, skipped=0, concealed=0, inputWait=117ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=237 (47fps), decodeLatency=13ms p95=20ms (237 frames)
09-03 23:18:39.313 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5007ms: rendered=252 (50fps), fed=252 (50fps), dropped=0, skipped=0, concealed=0, inputWait=144ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=252 (50fps), decodeLatency=12ms p95=13ms (252 frames)
09-03 23:18:44.319 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5006ms: rendered=259 (51fps), fed=260 (51fps), dropped=0, skipped=0, concealed=0, inputWait=138ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=259 (51fps), decodeLatency=12ms p95=16ms (259 frames)
09-03 23:18:49.322 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5003ms: rendered=256 (51fps), fed=255 (50fps), dropped=0, skipped=0, concealed=0, inputWait=144ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=256 (51fps), decodeLatency=12ms p95=14ms (256 frames)
