09-02 10:10:40.926 I/ActivityManager( 1090): Background started FGS: Allowed [callingPackage: com.andrerinas.headunitrevived; callingUid: 10168; uidState: TOP ; uidBFSL: [BFSL]; intent: Intent { cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.aap.AapService }; code:PROC_STATE_TOP; tempAllowListReason:<null>; targetSdkVersion:36; callerTargetSdkVersion:36; startForegroundCount:0; bindFromPackage:null: isBindService:false]
09-02 10:10:41.860 I/OPENHU  (25635): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:10:42.676 I/OPENHU  (25635): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:10:42.894 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 3E:2C:96:13:04:AE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-10, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:10:42.911 I/OPENHU  (25635): [76] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=3E:2C:96:13:04:AE, identity stable=no
09-02 10:10:43.690 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 3E:2C:96:13:04:AE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-10, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:10:43.698 I/OPENHU  (25635): [78] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=3E:2C:96:13:04:AE, identity stable=no
09-02 10:10:43.710 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 3E:2C:96:13:04:AE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-10, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:10:43.717 I/OPENHU  (25635): [79] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=3E:2C:96:13:04:AE, identity stable=no
09-02 10:11:01.958 I/OPENHU  (25635): [83] NativeAaHandshakeManager.sendProtobuf | NativeAA: [TX] Wrote TYPE 3 (size 61) to Bluetooth (write() returned; delivery unconfirmed)
09-02 10:11:02.238 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 3E:2C:96:13:04:AE (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-10, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:02.246 I/OPENHU  (25635): [84] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=3E:2C:96:13:04:AE, identity stable=no
09-02 10:11:02.382 I/OPENHU  (25635): [61] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.54
09-02 10:11:02.629 I/OPENHU  (25635): [82] AapSslContext.performHandshake | SSL handshake complete. Session id: EHDElmQsI2iXbLbegqVBq+XKSy522IAza7p3QIMDcaw=
09-02 10:11:02.630 D/OPENHU  (25635): [82] AapTransport.handshake | Handshake: SSL handshake complete. TS: 9350748
09-02 10:11:23.050 I/OPENHU  (25635): [2] WifiDirectManager.stop | WifiDirectManager: Stopping and cleaning up...
09-02 10:11:29.896 I/ActivityManager( 1090): Background started FGS: Allowed [callingPackage: com.android.shell; callingUid: 0; uidState: NONE; uidBFSL: n/a; intent: Intent { act=com.andrerinas.openheadunit.ACTION_NATIVE_AA_POKE cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.aap.AapService (has extras) }; code:SYSTEM_UID; tempAllowListReason:<null>; targetSdkVersion:36; callerTargetSdkVersion:34; startForegroundCount:0; bindFromPackage:null: isBindService:false]
09-02 10:11:30.005 I/OPENHU  (25635): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:11:30.207 I/OPENHU  (25635): [2] WifiDirectManager.refreshNativeCredentials$lambda$18 | WifiDirectManager: refresh: no group is up, so one is created.
09-02 10:11:30.209 I/OPENHU  (25635): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:11:30.743 I/OPENHU  (25635): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:11:30.756 W/OPENHU  (25635): [2] WifiDirectManager.onQuietGroupFailed | WifiDirectManager: 5GHz channel 36 (5180 MHz) createGroup failed (BUSY (System is busy, retry needed)), removing group and retrying in 2s (retry 1/4)...
09-02 10:11:30.881 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 06:AF:E1:20:8D:F8 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-11, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:30.893 I/OPENHU  (25635): [96] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=06:AF:E1:20:8D:F8, identity stable=no
09-02 10:11:31.757 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 06:AF:E1:20:8D:F8 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-11, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:31.766 I/OPENHU  (25635): [97] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=06:AF:E1:20:8D:F8, identity stable=no
