09-02 10:20:38.328 I/OPENHU  (31465): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-02 10:20:38.384 I/OPENHU  (31465): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:20:39.130 I/OPENHU  (31465): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:20:56.893 I/OPENHU  (31465): [2] AutoStartReceiver.onReceive | MATCH! Starting AapService via Bluetooth Auto-start...
09-02 10:20:58.993 I/OPENHU  (31465): [61] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.54
09-02 10:20:59.213 I/OPENHU  (31465): [84] AapSslContext.performHandshake | SSL handshake complete. Session id: NOGIjCvV/+NZ4EE6WJS0poWKPScAIBqADUtu/oq1ezs=
09-02 10:20:59.214 D/OPENHU  (31465): [84] AapTransport.handshake | Handshake: SSL handshake complete. TS: 9947331
09-02 10:21:05.978 I/OPENHU  (31465): [93] VideoDecoder.logThroughput | Throughput over 5003ms: rendered=218 (43fps), fed=219 (43fps), dropped=0, skipped=0, concealed=0, inputWait=105ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=217 (43fps), decodeLatency=12ms p95=22ms (217 frames)
09-02 10:21:10.981 I/OPENHU  (31465): [93] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=250 (49fps), fed=250 (49fps), dropped=0, skipped=0, concealed=0, inputWait=111ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=249 (49fps), decodeLatency=10ms p95=17ms (249 frames)
09-02 10:21:15.982 I/OPENHU  (31465): [93] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=247 (49fps), fed=249 (49fps), dropped=0, skipped=0, concealed=0, inputWait=91ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=247 (49fps), decodeLatency=12ms p95=21ms (247 frames)
09-02 10:21:19.604 I/OPENHU  (31465): [2] WifiDirectManager.stop | WifiDirectManager: Stopping and cleaning up...
09-02 10:21:39.121 I/OPENHU  (31465): [2] AutoStartReceiver.onReceive | MATCH! Starting AapService via Bluetooth Auto-start...
09-02 10:21:39.405 I/OPENHU  (31465): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-02 10:21:39.471 I/OPENHU  (31465): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:21:40.955 I/OPENHU  (31465): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:21:47.931 I/OPENHU  (31465): [72] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.54
09-02 10:21:48.110 I/OPENHU  (31465): [62] AapSslContext.performHandshake | SSL handshake complete. Session id: 8YYgl1HrMPf6cCli4nTCe+N4F8NklWyKNdtZTo4pTAg=
09-02 10:21:48.111 D/OPENHU  (31465): [62] AapTransport.handshake | Handshake: SSL handshake complete. TS: 9996228
09-02 10:21:54.676 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=230 (45fps), fed=232 (46fps), dropped=0, skipped=0, concealed=0, inputWait=111ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=228 (45fps), decodeLatency=11ms p95=22ms (228 frames)
09-02 10:21:59.683 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5008ms: rendered=249 (49fps), fed=248 (49fps), dropped=0, skipped=0, concealed=0, inputWait=116ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=248 (49fps), decodeLatency=10ms p95=17ms (248 frames)
09-02 10:22:04.688 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5005ms: rendered=252 (50fps), fed=252 (50fps), dropped=0, skipped=0, concealed=0, inputWait=116ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=252 (50fps), decodeLatency=10ms p95=18ms (252 frames)
09-02 10:22:09.696 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5008ms: rendered=251 (50fps), fed=251 (50fps), dropped=0, skipped=0, concealed=0, inputWait=122ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=251 (50fps), decodeLatency=10ms p95=17ms (251 frames)
09-02 10:22:14.701 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5005ms: rendered=251 (50fps), fed=252 (50fps), dropped=0, skipped=0, concealed=0, inputWait=126ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=250 (49fps), decodeLatency=11ms p95=21ms (250 frames)
09-02 10:22:19.702 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=252 (50fps), fed=251 (50fps), dropped=0, skipped=0, concealed=0, inputWait=116ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=252 (50fps), decodeLatency=12ms p95=21ms (252 frames)
09-02 10:22:24.710 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5006ms: rendered=248 (49fps), fed=250 (49fps), dropped=0, skipped=0, concealed=0, inputWait=103ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=248 (49fps), decodeLatency=11ms p95=21ms (248 frames)
09-02 10:22:29.711 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=248 (49fps), fed=249 (49fps), dropped=0, skipped=0, concealed=0, inputWait=110ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=247 (49fps), decodeLatency=12ms p95=21ms (247 frames)
09-02 10:22:34.714 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=253 (50fps), fed=250 (49fps), dropped=0, skipped=0, concealed=0, inputWait=109ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=251 (50fps), decodeLatency=12ms p95=21ms (251 frames)
09-02 10:22:39.723 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5009ms: rendered=251 (50fps), fed=251 (50fps), dropped=0, skipped=0, concealed=0, inputWait=108ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=249 (49fps), decodeLatency=11ms p95=21ms (249 frames)
09-02 10:22:44.724 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=251 (50fps), fed=251 (50fps), dropped=0, skipped=0, concealed=0, inputWait=114ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=251 (50fps), decodeLatency=11ms p95=20ms (251 frames)
09-02 10:22:49.726 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=250 (49fps), fed=250 (49fps), dropped=0, skipped=0, concealed=0, inputWait=116ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=250 (49fps), decodeLatency=12ms p95=21ms (250 frames)
09-02 10:22:54.737 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5003ms: rendered=249 (49fps), fed=251 (50fps), dropped=0, skipped=2, concealed=0, inputWait=126ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=249 (49fps), decodeLatency=12ms p95=22ms (249 frames)
09-02 10:22:59.733 I/OPENHU  (31465): [109] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=249 (49fps), fed=251 (50fps), dropped=0, skipped=2, concealed=0, inputWait=119ms, enqueueWait=0ms, codec=c2.unisoc.hevc.decoder, presented=248 (49fps), decodeLatency=13ms p95=22ms (248 frames)
09-02 10:23:01.826 I/OPENHU  (31465): [62] WifiDirectManager.stop | WifiDirectManager: Stopping and cleaning up...
